epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,learning_rate
1,2.304881359941216,0.2553763440860215,2.1539055442217716,0.30434782608695654,0.335014005602241,0.2955033062175919,0.2290211266579937,0.001
2,1.8387797340270011,0.4435483870967742,1.6100656268019113,0.45962732919254656,0.627067492276711,0.45506874078302645,0.4351562201215865,0.001
3,1.4808639787858533,0.5188172043010753,1.1764914189806637,0.6335403726708074,0.7321359503321568,0.6321844821844822,0.6229257405605851,0.001
4,1.2363574568943312,0.5994623655913979,1.1235573972974504,0.6149068322981367,0.6872819640676784,0.6171958993387566,0.6025608135644094,0.001
5,1.1422019979005218,0.6209677419354839,0.9574687332840439,0.6956521739130435,0.7441404997693816,0.6964904143475571,0.6816875074069292,0.001
6,1.047347761610503,0.6532258064516129,1.4901830450348232,0.4906832298136646,0.5915517662871684,0.4817979639408211,0.4561410472870361,0.001
7,0.9012717764864686,0.717741935483871,0.9706614021188724,0.6894409937888198,0.6975133643200869,0.678890157461586,0.6479880219376017,0.001
8,0.9015135021619899,0.7056451612903226,0.6418180828509124,0.7701863354037267,0.8274123752064927,0.7769944341372914,0.7596005896368874,0.001
9,0.8075702703127297,0.7338709677419355,0.9331653640136955,0.7453416149068323,0.8216582380752887,0.7524285238570954,0.7569893640194393,0.001
10,0.7633706618060347,0.7325268817204301,0.7521111913349318,0.7142857142857143,0.7790465173923821,0.7220172684458398,0.7189018472028417,0.001
11,0.6858785190889912,0.7849462365591398,0.6061870866680737,0.7763975155279503,0.8201955782312925,0.7754174397031539,0.7735209540434809,0.001
12,0.6638183645022813,0.7903225806451613,0.6241727152966564,0.7577639751552795,0.7723762232165592,0.7564875600589887,0.7453888265344568,0.001
13,0.6955977264911898,0.782258064516129,0.6889978452869083,0.7701863354037267,0.8352303600866183,0.7729282622139767,0.7641748062861508,0.001
14,0.6467610764247115,0.7836021505376344,0.6433836788124179,0.8012422360248447,0.8562715995489104,0.7972634508348794,0.7913683302739107,0.001
15,0.5324294438926123,0.8400537634408602,0.4369832251382911,0.8881987577639752,0.9036422902494331,0.8886054421768707,0.8887028448649896,0.001
16,0.572100261206268,0.8077956989247311,0.5644978610625179,0.7453416149068323,0.743827750398405,0.7404607297464441,0.7129413983586568,0.001
17,0.6065927756729946,0.8158602150537635,0.7940821588409613,0.782608695652174,0.8113017934446507,0.7832346225203369,0.7671454691026138,0.001
18,0.6065788121633632,0.7983870967741935,0.5253576551164899,0.8198757763975155,0.8450487077422062,0.8165834165834165,0.813056675685702,0.001
19,0.5584755789849066,0.803763440860215,0.4853272067834131,0.8260869565217391,0.8845197409107184,0.8275819418676562,0.8294651778840192,0.0005
20,0.4245329963904555,0.8763440860215054,0.4694904970086139,0.8695652173913043,0.8918908472479901,0.8685064935064934,0.8614721745265591,0.0005
21,0.38044183100423506,0.8870967741935484,0.2400563928929175,0.9316770186335404,0.9339339232196375,0.9312770562770563,0.9314850665782343,0.0005
22,0.36591258036193025,0.8844086021505376,0.23616725826485557,0.968944099378882,0.9714285714285713,0.969155844155844,0.9689137574070108,0.0005
23,0.31955263835768544,0.9005376344086021,0.5020463210270272,0.8509316770186336,0.8989150844284203,0.8539734075448361,0.8550849340107652,0.0005
24,0.32420018155087704,0.8978494623655914,0.30089103962693897,0.9316770186335404,0.9359093287664717,0.9326685219542362,0.9315740666051225,0.0005
25,0.3213328905003045,0.8951612903225806,0.5122388669098756,0.8322981366459627,0.8205302575575686,0.819014319014319,0.8015099480447635,0.0005
26,0.3057680009834228,0.9126344086021505,0.2558559651330391,0.937888198757764,0.947069597069597,0.9385126777983921,0.9370515182152973,0.00025
27,0.2778800431118217,0.9233870967741935,0.23180734410141565,0.9565217391304348,0.9596938775510205,0.9556277056277056,0.9558795127118109,0.00025
28,0.27570136652518346,0.918010752688172,0.18435991287046338,0.9565217391304348,0.9560606060606059,0.9561688311688311,0.955315130004571,0.00025
29,0.2470684064331875,0.9220430107526881,0.15364352261983089,0.9627329192546584,0.9620129870129869,0.9626623376623377,0.9615263101287946,0.00025
30,0.2568637991464266,0.928763440860215,0.16146688609852555,0.9565217391304348,0.9596760382474668,0.9550865800865801,0.9556546972696041,0.00025
31,0.24948389748091337,0.9206989247311828,0.1601478920219848,0.9565217391304348,0.9574342324342322,0.9556277056277055,0.9555369578661503,0.00025
32,0.21680735195836714,0.9422043010752689,0.14987367042195723,0.968944099378882,0.9727058655630083,0.9680735930735931,0.967778763679385,0.00025
