Model,Calibration,Correct Samples,Incorrect Samples,Mean Confidence — Correct,Mean Confidence — Incorrect,Mean Entropy — Correct,Mean Entropy — Incorrect,Error-detection AUROC
ResNet50_Finetuned,Before,151,6,0.8839993476867676,0.4822157919406891,0.43836233019828796,1.4049078226089478,0.9315673289183223
ResNet50_Finetuned,After,151,6,0.9716714024543762,0.6989779472351074,0.08244124799966812,0.7957895398139954,0.9470198675496689
EfficientNetB0_Finetuned,Before,150,7,0.9322591423988342,0.5688369870185852,0.27103108167648315,1.2529486417770386,0.9076190476190475
EfficientNetB0_Finetuned,After,150,7,0.9774540066719055,0.6926226019859314,0.07704319059848785,0.7722646594047546,0.9066666666666666
