Model,Clean Test Accuracy (%),Clean Macro-F1 (%),Macro ROC-AUC,Mean Corrupted Macro-F1 (%),Macro-F1 Retention (%),Strong-Severity Macro-F1 (%),Worst Corrupted Macro-F1 (%),Worst Corruption,ECE Before,ECE After,NLL After,Brier After,Confidence Gap After (pp),Error-detection AUROC After,Confidence AURC,Accuracy at ~90% Coverage (%),Error Rejection at ~90% Coverage (%),Total Test Errors,High-confidence Errors (>=0.95),Errors Surviving ~90% Coverage,Shared Error Records,All Errors Mean Pred-CAM Concentration50,All Errors Mean True-CAM Concentration50
ResNet50_Finetuned,96.1783439490446,95.89647820850828,0.9994778448650408,92.80205345443036,96.7731612131264,91.52387562079952,89.43984444897853,gaussian_blur,0.1031171062569709,0.0299969129501634,0.1531940102577209,0.0667406046625833,-0.0533372733243719,0.9470198675496688,0.0033750511963146,99.29577464788731,83.33333333333334,6,1,1,3,0.1283216411564625,0.1201935852465986
EfficientNetB0_Finetuned,95.54140127388536,95.20536377646545,0.9973858961837714,90.6215260106496,95.18531563349904,83.39876518723219,64.20095310851613,contrast,0.0569612131376934,0.0429296104391668,0.1933101862668991,0.0676579190889766,0.9340509107917728,0.9066666666666666,0.0059180695117281,97.88732394366195,57.14285714285714,7,3,3,3,0.2213778926749271,0.2392834365889212
