epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_f1_weighted,learning_rate
1,1.9283615946769714,0.41397849462365593,0.9802634318669637,0.8136645962732919,0.8444835239948023,0.8146044431758716,0.8136580898363873,0.8160055122232053,0.0001
2,0.6688022476931413,0.7943548387096774,0.4017069861292839,0.9006211180124224,0.9080835830835831,0.9025914561628847,0.8998757713174189,0.9013385725474076,0.0001
3,0.36869412660598755,0.9005376344086021,0.25367092185964185,0.9316770186335404,0.9356833642547929,0.9339767375481661,0.9320708690895027,0.9321714580315714,0.0001
4,0.16766300859550634,0.9663978494623656,0.24285867375632128,0.906832298136646,0.9120046620046621,0.9090849626563913,0.9073151486194966,0.9075378307892484,0.0001
5,0.13318071840330958,0.967741935483871,0.22472282072218755,0.9130434782608695,0.9204684204684205,0.9144962180676465,0.9127671086677299,0.9142584897324298,0.0001
6,0.07556716767915835,0.9825268817204301,0.1803081058897078,0.9316770186335404,0.9340825840825842,0.9319359212216355,0.9322490432575429,0.932116109579617,0.0001
7,0.0463589767847831,0.9946236559139785,0.1949203860325118,0.9254658385093167,0.9330705009276439,0.9269421055135341,0.925208719942293,0.9254749456710882,0.0001
8,0.04466771805891767,0.9932795698924731,0.21327117166947573,0.9192546583850931,0.9343573093573093,0.9237726559155129,0.9230394450270227,0.9208200441200712,0.0001
9,0.059274657939871155,0.9905913978494624,0.168846033513546,0.9503105590062112,0.9585688121402408,0.9529161314875599,0.952403969391547,0.950835101526433,0.0001
10,0.05521577509352937,0.9865591397849462,0.18840150604955852,0.937888198757764,0.9409340659340659,0.9390787783644925,0.9362821312330957,0.9376886051275238,0.0001
11,0.027388985986666132,0.9932795698924731,0.23787019122755737,0.9254658385093167,0.9430558476611107,0.9266328909186052,0.9291971237196853,0.9284978574963706,0.0001
12,0.021280460874550045,0.9946236559139785,0.19765937964742383,0.9316770186335404,0.9430025856496445,0.9344346130060416,0.9342134281082665,0.9330835345849267,0.0001
13,0.02289595372470406,0.9946236559139785,0.17909083470294718,0.9503105590062112,0.9590888278388279,0.9515246658103801,0.9531161063459201,0.952118045285747,5e-05
14,0.02442713949130848,0.9905913978494624,0.15427511557936668,0.968944099378882,0.9700061842918984,0.9694650587507729,0.9689534355683422,0.9689312397927035,5e-05
15,0.013578589583630674,0.9973118279569892,0.1818432277747585,0.937888198757764,0.9439625850340135,0.9383889919604205,0.9368431690595795,0.9370924200820301,5e-05
16,0.0130929315831357,0.9973118279569892,0.1603203535778448,0.968944099378882,0.9700715950715951,0.9694650587507729,0.9678439975023826,0.9688734430970457,5e-05
17,0.00546335934632225,1.0,0.15381591351372967,0.9503105590062112,0.954116121973265,0.9509835402692545,0.9505388078680005,0.950345578846794,5e-05
18,0.0038385144871426746,1.0,0.14799467342769881,0.9565217391304348,0.9606096284667714,0.957477046762761,0.9576816650108577,0.9568821065013342,5e-05
19,0.004048991711897543,1.0,0.1546533936416381,0.9627329192546584,0.964010989010989,0.9629715522572665,0.9621771695063621,0.9629508203961349,5e-05
20,0.004840850352290242,0.9986559139784946,0.15269753176835366,0.9627329192546584,0.9657544836116265,0.9629715522572665,0.9634701622279263,0.9634127187462321,5e-05
21,0.0032899540025634146,1.0,0.1560991327278316,0.9627329192546584,0.9659031444745729,0.9653620189334474,0.9637758514777149,0.9627200596684798,5e-05
22,0.003293108700745506,1.0,0.16868458424384394,0.9503105590062112,0.9559000523286239,0.9523750059464344,0.9521952995244921,0.9506617246287784,2.5e-05
23,0.004575950713842758,1.0,0.16339925085412688,0.9565217391304348,0.9606096284667714,0.957477046762761,0.9576816650108577,0.9568821065013342,2.5e-05
24,0.005421572791722913,0.9986559139784946,0.15079179598251358,0.9751552795031055,0.976107226107226,0.9759585652442795,0.9749765026783661,0.9751516216652593,2.5e-05
25,0.0040145112240376575,1.0,0.15560219164763112,0.9565217391304348,0.9594096379810664,0.9588685124399409,0.9575411441560508,0.9565088795442563,2.5e-05
26,0.0022510179223900195,1.0,0.16560460247031492,0.9503105590062112,0.9537236572950859,0.9523750059464344,0.9512115213978569,0.9502267145043272,1.25e-05
27,0.004344329913389326,0.9986559139784946,0.15638533162564272,0.9503105590062112,0.9537236572950859,0.9523750059464344,0.9512115213978569,0.9502267145043272,1.25e-05
28,0.004126309313505772,0.9986559139784946,0.15143372128416863,0.9503105590062112,0.9537236572950859,0.9523750059464344,0.9512115213978569,0.9502267145043272,1.25e-05
29,0.004107567801838741,1.0,0.1481444715075971,0.9627329192546584,0.964119214119214,0.9639705532562675,0.9630275096424165,0.962729261416812,1.25e-05
30,0.0015234678709627285,1.0,0.14887268823804334,0.9751552795031055,0.976107226107226,0.9759585652442795,0.9749765026783661,0.9751516216652593,6.25e-06
31,0.002201144286421671,1.0,0.15014269344101194,0.968944099378882,0.9696137196137194,0.9694650587507729,0.968741795356702,0.9689404415410356,6.25e-06
32,0.0037141208122193348,1.0,0.15205510129453614,0.9627329192546584,0.964119214119214,0.9639705532562675,0.9630275096424165,0.962729261416812,6.25e-06
33,0.0021836397014946365,1.0,0.15458574163979696,0.9503105590062112,0.9559000523286239,0.9523750059464344,0.9521952995244921,0.9506617246287784,6.25e-06
34,0.0023081208685956276,1.0,0.15424342848321734,0.9503105590062112,0.9537236572950859,0.9523750059464344,0.9512115213978569,0.9502267145043272,3.125e-06
