Architecture,Frozen Accuracy (%),Fine-tuned Accuracy (%),Accuracy Change (pp),Frozen Macro-F1 (%),Fine-tuned Macro-F1 (%),Macro-F1 Change (pp)
ResNet50,96.17834394904459,96.17834394904459,0.0,95.89647820850828,95.89647820850828,0.0
EfficientNetB0,92.99363057324841,95.54140127388536,2.547770700636942,92.66469745793054,95.20536377646545,2.540666318534901
