epoch,train_loss,train_accuracy,train_precision,train_recall,train_macro_f1,val_loss,val_accuracy,val_precision,val_recall,val_macro_f1,lr_block6,lr_block7,lr_block8,lr_classifier,epoch_time_sec
1,0.1631626272073356,0.9758064516129032,0.9763742043892076,0.9766954100604716,0.9762214454760819,0.19913680952111756,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,1e-05,1e-05,2e-05,0.0001,30.107239961624146
2,0.15016477082365304,0.9838709677419355,0.9843933879716985,0.9844399688446279,0.9842771267860899,0.19041314207433913,0.968944099378882,0.9705473098330241,0.9700061842918986,0.969424726412304,1e-05,1e-05,2e-05,0.0001,29.61279010772705
3,0.1358151868466408,0.978494623655914,0.9784720861275232,0.9790156952624597,0.97853944862724,0.1676474521746454,0.9751552795031055,0.9770408163265305,0.9759585652442795,0.9759316770186335,1e-05,1e-05,2e-05,0.0001,29.02614736557007
4,0.13118391652261058,0.9838709677419355,0.9831106920227476,0.9836366267385304,0.9832694932656694,0.1574252577591109,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,1e-05,1e-05,2e-05,0.0001,29.44410729408264
5,0.11472797105389257,0.9879032258064516,0.988385772911635,0.9877834827262745,0.9879897857898293,0.14590878361222906,0.9751552795031055,0.9770408163265305,0.9759585652442795,0.9759316770186335,1e-05,1e-05,2e-05,0.0001,28.72059392929077
6,0.1071162162929453,0.9825268817204301,0.9847879628041694,0.9825655144076197,0.983299684466521,0.14033253833373882,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,1e-05,1e-05,2e-05,0.0001,29.28562879562378
7,0.09026612858137777,0.9932795698924731,0.993348373215811,0.993107467788319,0.9931664017572756,0.1365169462464426,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,1e-05,1e-05,2e-05,0.0001,29.368799686431885
8,0.09094425362925376,0.9905913978494624,0.9906987395374001,0.9904782451590962,0.9904959189257226,0.13024466849794114,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,5e-06,5e-06,1e-05,5e-05,28.215197324752808
9,0.09377776134398676,0.989247311827957,0.9891389313099154,0.9894208425227461,0.9892278156610209,0.12421475947250306,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,5e-06,5e-06,1e-05,5e-05,29.374706506729126
10,0.08652913346085497,0.9919354838709677,0.9918872837118959,0.9922992407202933,0.9920182103863727,0.12341778006936822,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,5e-06,5e-06,1e-05,5e-05,28.78297185897827
11,0.095094548438185,0.9879032258064516,0.9885678231152976,0.9881006227814738,0.9881562988369973,0.11635770164256604,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,5e-06,5e-06,1e-05,5e-05,28.775247812271118
12,0.08749319869343952,0.9852150537634409,0.9861640577040596,0.9851257897494324,0.9855367564022307,0.1150121184424584,0.9751552795031055,0.9761072261072261,0.9773500309214594,0.9765120145554927,2.5e-06,2.5e-06,5e-06,2.5e-05,29.274980545043945
13,0.0838574493123639,0.9905913978494624,0.9906843289846824,0.9906715206143123,0.9906353605804671,0.10976951689638706,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,2.5e-06,2.5e-06,5e-06,2.5e-05,27.670599222183228
14,0.0686086554040191,0.9973118279569892,0.9974929627023223,0.9976023976023977,0.997526363493284,0.11295994112892828,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,2.5e-06,2.5e-06,5e-06,2.5e-05,29.640681266784668
15,0.0786582519530609,0.9865591397849462,0.9869400089332515,0.9860398756635185,0.9864019626768205,0.11736477725786267,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,2.5e-06,2.5e-06,5e-06,2.5e-05,29.172319412231445
16,0.07362720842963906,0.9919354838709677,0.9917287252842567,0.9915428327454229,0.9915938723533557,0.11052412713837365,0.9751552795031055,0.9764996907854051,0.9759585652442795,0.975686321959614,2.5e-06,2.5e-06,5e-06,2.5e-05,28.454229593276978
17,0.07190014806485945,0.9946236559139785,0.9947775720457674,0.995074925074925,0.9948611656045728,0.11256276717791276,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,1.25e-06,1.25e-06,2.5e-06,1.25e-05,28.94282364845276
18,0.07223088831029913,0.9959677419354839,0.9957761615284413,0.9956780453588964,0.9957146898130167,0.11346540660221384,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,1.25e-06,1.25e-06,2.5e-06,1.25e-05,28.96085476875305
19,0.0741387949355187,0.9919354838709677,0.9920882316857549,0.9916792504456117,0.9918006511416173,0.10694707925460353,0.968944099378882,0.9701548451548451,0.970856524427953,0.9700050639491634,1.25e-06,1.25e-06,2.5e-06,1.25e-05,28.36859655380249
20,0.07514183055008611,0.9905913978494624,0.9909169546878103,0.9901904132351087,0.9904792092832014,0.10773029351630103,0.9751552795031055,0.9761072261072261,0.9773500309214594,0.9765120145554927,1.25e-06,1.25e-06,2.5e-06,1.25e-05,28.438090324401855
21,0.08178119922196993,0.989247311827957,0.989999468318796,0.9898942027199145,0.9899126533751866,0.11140813759198377,0.9751552795031055,0.9761072261072261,0.9773500309214594,0.9765120145554927,6.25e-07,6.25e-07,1.25e-06,6.25e-06,28.492859840393066
22,0.06646859870162061,0.9946236559139785,0.9946813845606853,0.9945214045214045,0.9945495121628785,0.1083258316065445,0.9751552795031055,0.9770408163265305,0.9759585652442795,0.9759316770186335,6.25e-07,6.25e-07,1.25e-06,6.25e-06,28.543103456497192
