epoch,train_loss,train_accuracy,train_precision,train_recall,train_macro_f1,val_loss,val_accuracy,val_precision,val_recall,val_macro_f1,learning_rate,epoch_time_sec
1,2.1848208288992605,0.42338709677419356,0.45502059295203084,0.42265608241123825,0.4165729467155002,1.6256233327877447,0.8198757763975155,0.860211252333101,0.8221183578326434,0.8274390838543155,0.001,29.20118474960327
2,1.35634744680056,0.8360215053763441,0.8514568057985178,0.8344820083931364,0.8376878672228255,1.0676451751164027,0.906832298136646,0.9185504971219257,0.9080954759526189,0.9074393096884108,0.001,27.82516384124756
3,0.9629145976035826,0.8669354838709677,0.8767854148510538,0.8676953992646609,0.8694248109452731,0.8119599813630122,0.906832298136646,0.9178262213976501,0.9074461253032681,0.9066151511785419,0.001,29.979936838150024
4,0.7110005027504378,0.9045698924731183,0.9081098664332553,0.9061510795124695,0.9064556596453326,0.6466398468669157,0.9254658385093167,0.9368345939774512,0.9273750059464344,0.9279827482459062,0.001,28.153943300247192
5,0.5940997459555185,0.9260752688172043,0.927415860541159,0.9253492180126676,0.9256885220203379,0.5588111278618345,0.9130434782608695,0.9234955520669808,0.9155784691498976,0.9135363532257943,0.001,29.41804003715515
6,0.49739480467252833,0.9301075268817204,0.9329992527103759,0.9313250810297491,0.9310102896936991,0.48465057393038496,0.9192546583850931,0.9273191094619667,0.9212216355073497,0.9194438801720876,0.001,29.851945877075195
7,0.42874851342170467,0.9395161290322581,0.9413383492545357,0.9408829378191024,0.9401869867906686,0.44971139303275515,0.9254658385093167,0.9318716997288427,0.9267161410018553,0.9241669717446115,0.001,28.68086051940918
8,0.40023911191571143,0.9327956989247311,0.935914087952626,0.9347565688539878,0.9344869932882999,0.39607657779077565,0.9503105590062112,0.9511322011322011,0.9524582560296846,0.9507729916736126,0.001,29.463931560516357
9,0.34589513719722786,0.9529569892473119,0.9549150652013424,0.9540968415461962,0.9541968886277026,0.36685215205139254,0.9503105590062112,0.9537664716236145,0.9516079158936301,0.950650529594629,0.001,28.29434323310852
10,0.30840151476603683,0.9637096774193549,0.9655712795656619,0.9645937592746103,0.9644895428119113,0.33744672722883107,0.9440993788819876,0.9473562152133581,0.9456555349412492,0.9443992860141929,0.001,28.601542472839355
11,0.2904680704557768,0.9556451612903226,0.9565740958419446,0.9561806977727709,0.9558021520793025,0.3174606589195521,0.9503105590062112,0.9527674706246134,0.9516079158936303,0.950697852871766,0.001,28.97997283935547
12,0.28599413748710384,0.9556451612903226,0.9584361356224573,0.9568691977633303,0.9568790664870958,0.3079017743653392,0.937888198757764,0.9404702440416726,0.9405534941249227,0.9379685187138603,0.001,28.658681631088257
