Model,Total visualized selected cases,Total Test errors explained,Selected correct mean confidence,Selected error mean confidence,Selected correct mean pred-CAM concentration50,Selected error mean pred-CAM concentration50,All errors mean pred-CAM concentration50,All errors mean true-CAM concentration50
ResNet50_Finetuned,6,6,0.7304213717579842,0.8824177086353302,0.16553730867346939,0.14995216836734693,0.12832164115646258,0.12019358524659862
EfficientNetB0_Finetuned,6,7,0.7311454638838768,0.988209456205368,0.2423569036989796,0.28469786352040816,0.2213778926749271,0.23928343658892123
