epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_precision,val_recall,val_macro_f1,learning_rate
1,2.2710778815771944,0.3481182795698925,0.3388688303334752,1.844705197381677,0.7763975155279503,0.8580062794348507,0.7809785452642596,0.776975195740267,0.001
2,1.4929918114857008,0.8024193548387096,0.7981353321909417,1.2655968984461718,0.8944099378881988,0.9029411065125352,0.8991651205936921,0.8970815956530241,0.001
3,1.0790731189071492,0.8870967741935484,0.8877939618239282,0.9534051396091532,0.9006211180124224,0.9113556086770372,0.9056586270871986,0.9026674154003347,0.001
4,0.8278458259438956,0.9018817204301075,0.9031903631563031,0.7589408259214081,0.9192546583850931,0.9255137719423434,0.9226654298082869,0.9198727256180673,0.001
5,0.6834386587142944,0.9193548387096774,0.9210360081919221,0.6242019774750893,0.9503105590062112,0.9541993720565148,0.9498763141620284,0.9504844948012651,0.001
6,0.5734748596786171,0.9395161290322581,0.9401512669545067,0.560782136569112,0.937888198757764,0.9489617525331812,0.9419140383426097,0.9394625865580427,0.001
7,0.4981236182233339,0.9435483870967742,0.9438968337850658,0.5032634163124962,0.9627329192546584,0.965903144474573,0.962121212121212,0.9625659540716299,0.001
8,0.42101633676918604,0.9489247311827957,0.9490233600186466,0.43520653192300973,0.9565217391304348,0.9580705009276438,0.9570191713048856,0.9565998184010608,0.001
9,0.39202696277249244,0.9422043010752689,0.9426094659437644,0.39479485672453174,0.9627329192546584,0.965105132962276,0.9635126777983921,0.9633890953766732,0.001
10,0.3393048919657225,0.9650537634408602,0.9658777224839336,0.34069062667603817,0.968944099378882,0.9723966509680796,0.9686147186147186,0.9693686751600653,0.001
11,0.3359831667715503,0.9583333333333334,0.9583971169124582,0.33307577910260383,0.968944099378882,0.9719387755102041,0.9686147186147186,0.9691202279550964,0.001
12,0.28761826792070944,0.9663978494623656,0.9668235755323125,0.3078370986517912,0.9627329192546584,0.9631725417439704,0.9629715522572665,0.9621619466339965,0.001
13,0.2680274235304966,0.9798387096774194,0.9798700912940342,0.2708908971051992,0.9751552795031055,0.9767006802721089,0.9745670995670996,0.9746888722044001,0.001
14,0.24596167700265043,0.9731182795698925,0.973157014449102,0.2705239166754373,0.9751552795031055,0.978806907378336,0.9745670995670996,0.974903305803927,0.001
15,0.2311468861436331,0.9838709677419355,0.9841287301294982,0.25975300311486915,0.9751552795031055,0.975024975024975,0.9745670995670995,0.9742475330052969,0.001
16,0.23232420670088902,0.9771505376344086,0.9768747131394278,0.24415158994079378,0.9751552795031055,0.9760239760239761,0.9745670995670995,0.9744825360974428,0.001
17,0.20893379981799792,0.9717741935483871,0.9717305638851951,0.22041114826935418,0.9751552795031055,0.975024975024975,0.9745670995670995,0.9742475330052969,0.001
18,0.19854978463983022,0.9771505376344086,0.9776403293628981,0.21299958071723488,0.9813664596273292,0.9820596070596069,0.9810606060606061,0.9810368099809094,0.001
19,0.19628089057501927,0.9744623655913979,0.9739892498859406,0.21871104764734736,0.968944099378882,0.969072594072594,0.969072594072594,0.9685435992578848,0.001
20,0.1912799394258889,0.9758064516129032,0.9766213468570383,0.19145807734927775,0.9751552795031055,0.975024975024975,0.9745670995670995,0.9742475330052969,0.001
21,0.1811118600189045,0.9798387096774194,0.9796569730364765,0.19009995659500917,0.968944099378882,0.9685314685314684,0.9686147186147185,0.9680497969938965,0.001
22,0.15959113163332786,0.9932795698924731,0.9934494247871564,0.18353605247247293,0.9813664596273292,0.9820596070596069,0.9810606060606061,0.9810368099809094,0.001
23,0.16088828893118007,0.9838709677419355,0.9836558775507586,0.17640660619883805,0.968944099378882,0.9685314685314684,0.9694650587507729,0.9685098844105057,0.0005
24,0.14647952987942645,0.9879032258064516,0.9883261142539294,0.1867179915031291,0.9751552795031055,0.975024975024975,0.9745670995670995,0.9742475330052969,0.0005
25,0.13783200750107405,0.9879032258064516,0.9876737783341121,0.17892578369156914,0.968944099378882,0.9685314685314684,0.9694650587507729,0.9685098844105057,0.0005
26,0.1331974155800317,0.9905913978494624,0.9903082370499333,0.16034108307791053,0.9751552795031055,0.9760239760239761,0.9745670995670995,0.9744825360974428,0.0005
27,0.1411521739216261,0.9852150537634409,0.9848260461233174,0.17122274607142307,0.9813664596273292,0.9825174825174825,0.9810606060606061,0.9812852571858784,0.00025
28,0.14031588262127292,0.9852150537634409,0.9854409463250194,0.16112654611051824,0.968944099378882,0.9685314685314684,0.9694650587507729,0.9685098844105057,0.00025
29,0.14835415988840084,0.9798387096774194,0.9797000865769065,0.16691003480683203,0.968944099378882,0.9685314685314684,0.9694650587507729,0.9685098844105057,0.00025
30,0.13363788300944912,0.989247311827957,0.9886501584449424,0.16122379926791103,0.9813664596273292,0.9825174825174825,0.9810606060606061,0.9812852571858784,0.00025
31,0.1424676948978055,0.9825268817204301,0.9833415114534213,0.1594293890810161,0.9751552795031055,0.9755661005661006,0.9745670995670995,0.9745433034874029,0.00025
32,0.13337792023535697,0.9879032258064516,0.9883207348465531,0.16028009887252534,0.9751552795031055,0.9760239760239761,0.9745670995670995,0.9744825360974428,0.000125
33,0.12354992282006048,0.9919354838709677,0.9921123020863556,0.16897462942400335,0.9751552795031055,0.975024975024975,0.9745670995670995,0.9742475330052969,0.000125
34,0.1521368170938184,0.9811827956989247,0.9811359252326431,0.1583758624305266,0.9751552795031055,0.9760239760239761,0.9745670995670995,0.9744825360974428,0.000125
35,0.1285822726385568,0.9959677419354839,0.9956230988612342,0.16547998272299025,0.9813664596273292,0.9820596070596069,0.9810606060606061,0.9810368099809094,0.000125
36,0.12266470908477742,0.9905913978494624,0.990169728304973,0.15632155951783525,0.9813664596273292,0.9825174825174825,0.9810606060606061,0.9812852571858784,6.25e-05
37,0.1310854834574525,0.9838709677419355,0.9843106747829135,0.16414010656638917,0.9751552795031055,0.975024975024975,0.9745670995670995,0.9742475330052969,6.25e-05
