Model,Corruption,Severity,Severity Name,Accuracy (%),Macro Precision (%),Macro Recall (%),Macro-F1 (%),Clean Accuracy (%),Clean Macro-F1 (%),Accuracy Drop (pp),Macro-F1 Drop (pp)
ResNet50_Finetuned,gaussian_blur,1,Mild,95.54140127388536,95.71773464630607,95.39888682745826,95.36603326812545,96.17834394904459,95.89647820850828,0.6369426751592355,0.5304449403828349
ResNet50_Finetuned,gaussian_blur,2,Moderate,91.71974522292994,92.14749536178107,91.41620284477426,91.4131794131794,96.17834394904459,95.89647820850828,4.458598726114649,4.483298795328872
ResNet50_Finetuned,gaussian_blur,3,Strong,89.80891719745223,90.76486013986013,89.40321583178725,89.43984444897853,96.17834394904459,95.89647820850828,6.369426751592355,6.456633759529751
ResNet50_Finetuned,gaussian_noise,1,Mild,96.17834394904459,96.15939615939617,95.84415584415584,95.82617257429288,96.17834394904459,95.89647820850828,0.0,0.07030563421540625
ResNet50_Finetuned,gaussian_noise,2,Moderate,94.90445859872611,95.02303252303254,94.64535464535464,94.63835831815565,96.17834394904459,95.89647820850828,1.273885350318471,1.258119890352638
ResNet50_Finetuned,gaussian_noise,3,Strong,95.54140127388536,95.46495171495172,95.12987012987013,95.05613152965229,96.17834394904459,95.89647820850828,0.6369426751592355,0.8403466788559966
ResNet50_Finetuned,brightness,1,Mild,94.90445859872611,95.6614813757671,94.54545454545455,94.45714315590094,96.17834394904459,95.89647820850828,1.273885350318471,1.439335052607349
ResNet50_Finetuned,brightness,2,Moderate,91.0828025477707,91.92209576138148,90.79777365491651,90.56524347028062,96.17834394904459,95.89647820850828,5.095541401273884,5.331234738227664
ResNet50_Finetuned,brightness,3,Strong,91.0828025477707,92.31244945530662,91.10734503591645,91.05664350662718,96.17834394904459,95.89647820850828,5.095541401273884,4.839834701881096
ResNet50_Finetuned,contrast,1,Mild,94.26751592356688,95.15127729413445,94.03525046382188,94.09620930867783,96.17834394904459,95.89647820850828,1.9108280254777066,1.8002688998304595
ResNet50_Finetuned,contrast,2,Moderate,89.80891719745223,91.45021645021644,89.8964131106988,89.8440158511096,96.17834394904459,95.89647820850828,6.369426751592355,6.05246235739868
ResNet50_Finetuned,contrast,3,Strong,90.44585987261146,91.61686352862824,90.50651729223158,90.51942013890366,96.17834394904459,95.89647820850828,5.73248407643312,5.377058069604635
ResNet50_Finetuned,jpeg_compression,1,Mild,94.26751592356688,95.0261544011544,93.8961038961039,93.97083979790747,96.17834394904459,95.89647820850828,1.9108280254777066,1.925638410600805
ResNet50_Finetuned,jpeg_compression,2,Moderate,95.54140127388536,95.80705009276438,95.25974025974025,95.26351593268888,96.17834394904459,95.89647820850828,0.6369426751592355,0.6329622758194153
ResNet50_Finetuned,jpeg_compression,3,Strong,93.63057324840764,94.21266233766235,93.28171828171828,93.33305485937065,96.17834394904459,95.89647820850828,2.547770700636942,2.563423349137639
ResNet50_Finetuned,occlusion,1,Mild,92.99363057324841,93.51370851370852,92.53246753246754,92.57520056068151,96.17834394904459,95.89647820850828,3.1847133757961776,3.3212776478267814
ResNet50_Finetuned,occlusion,2,Moderate,93.63057324840764,94.45613909899623,93.28171828171828,93.27779680394916,96.17834394904459,95.89647820850828,2.547770700636942,2.618681404559131
ResNet50_Finetuned,occlusion,3,Strong,89.80891719745223,91.12571951857666,89.7071975643404,89.73815924126484,96.17834394904459,95.89647820850828,6.369426751592355,6.1583189672434475
EfficientNetB0_Finetuned,gaussian_blur,1,Mild,95.54140127388536,95.81668331668332,95.25974025974025,95.23623546915474,95.54140127388536,95.20536377646545,0.0,-0.030871692689282693
EfficientNetB0_Finetuned,gaussian_blur,2,Moderate,91.71974522292994,93.16558441558442,91.15800865800865,91.38443431118856,95.54140127388536,95.20536377646545,3.821656050955413,3.82092946527689
EfficientNetB0_Finetuned,gaussian_blur,3,Strong,87.26114649681529,92.21538252982351,86.53679653679653,87.97168334785195,95.54140127388536,95.20536377646545,8.280254777070063,7.233680428613498
EfficientNetB0_Finetuned,gaussian_noise,1,Mild,95.54140127388536,95.52669552669553,95.19480519480518,95.24276529833902,95.54140127388536,95.20536377646545,0.0,-0.037401521873581256
EfficientNetB0_Finetuned,gaussian_noise,2,Moderate,94.90445859872611,94.97724497724498,94.54545454545455,94.5829013527608,95.54140127388536,95.20536377646545,0.6369426751592355,0.6224624237046505
EfficientNetB0_Finetuned,gaussian_noise,3,Strong,94.26751592356688,94.40321583178725,93.8961038961039,93.9393813601071,95.54140127388536,95.20536377646545,1.273885350318471,1.2659824163583466
EfficientNetB0_Finetuned,brightness,1,Mild,96.17834394904459,96.37445887445885,95.9090909090909,95.8857453251046,95.54140127388536,95.20536377646545,-0.6369426751592355,-0.6803815486391418
EfficientNetB0_Finetuned,brightness,2,Moderate,92.99363057324841,93.79058441558442,92.46753246753246,92.59045626672295,95.54140127388536,95.20536377646545,2.547770700636942,2.6149075097424923
EfficientNetB0_Finetuned,brightness,3,Strong,77.70700636942675,84.66117216117216,77.61012796727081,77.52262814840937,95.54140127388536,95.20536377646545,17.834394904458595,17.68273562805608
EfficientNetB0_Finetuned,contrast,1,Mild,94.90445859872611,94.99555999556001,94.64535464535466,94.6390977443609,95.54140127388536,95.20536377646545,0.6369426751592355,0.5662660321045454
EfficientNetB0_Finetuned,contrast,2,Moderate,91.0828025477707,91.77759740259741,90.74925074925075,90.64324609494882,95.54140127388536,95.20536377646545,4.458598726114649,4.56211768151663
EfficientNetB0_Finetuned,contrast,3,Strong,62.42038216560509,80.24659863945578,62.83192997478713,64.20095310851613,95.54140127388536,95.20536377646545,33.12101910828026,31.004410667949312
EfficientNetB0_Finetuned,jpeg_compression,1,Mild,95.54140127388536,95.66405816405818,95.25974025974025,95.26570307756971,95.54140127388536,95.20536377646545,0.0,-0.06033930110426189
EfficientNetB0_Finetuned,jpeg_compression,2,Moderate,95.54140127388536,95.66405816405818,95.25974025974025,95.23168947212753,95.54140127388536,95.20536377646545,0.0,-0.02632569566208831
EfficientNetB0_Finetuned,jpeg_compression,3,Strong,95.54140127388536,95.66405816405818,95.25974025974025,95.23168947212753,95.54140127388536,95.20536377646545,0.0,-0.02632569566208831
EfficientNetB0_Finetuned,occlusion,1,Mild,96.17834394904459,96.02813852813853,95.9090909090909,95.91083864375791,95.54140127388536,95.20536377646545,-0.6369426751592355,-0.705474867292466
EfficientNetB0_Finetuned,occlusion,2,Moderate,94.26751592356688,94.40460333317476,94.25419818276961,94.18176401226418,95.54140127388536,95.20536377646545,1.273885350318471,1.0235997642012662
EfficientNetB0_Finetuned,occlusion,3,Strong,81.52866242038218,84.5547706261992,81.60208838780267,81.52625568638106,95.54140127388536,95.20536377646545,14.012738853503182,13.67910809008438
