Model,Corruption,Accuracy (%),Macro-F1 (%),Accuracy Drop (pp),Macro-F1 Drop (pp)
EfficientNetB0_Finetuned,jpeg_compression,95.54140127388536,95.24302734060825,0.0,-0.037663564142812835
EfficientNetB0_Finetuned,gaussian_noise,94.90445859872612,94.58834933706898,0.6369426751592355,0.6170144393964719
EfficientNetB0_Finetuned,gaussian_blur,91.50743099787685,91.53078437606507,4.033970276008492,3.6745794004003685
EfficientNetB0_Finetuned,occlusion,90.65817409766454,90.53961944746771,4.883227176220806,4.665744328997727
EfficientNetB0_Finetuned,brightness,88.9596602972399,88.66627658007899,6.581740976645434,6.539087196386476
EfficientNetB0_Finetuned,contrast,82.80254777070063,83.16109898260862,12.738853503184714,12.044264793856831
ResNet50_Finetuned,gaussian_noise,95.54140127388536,95.17355414070028,0.6369426751592355,0.7229240678080137
ResNet50_Finetuned,jpeg_compression,94.47983014861995,94.18913686332233,1.698513800424628,1.7073413451859532
ResNet50_Finetuned,gaussian_blur,92.35668789808919,92.07301904342779,3.821656050955413,3.823459165080486
ResNet50_Finetuned,brightness,92.35668789808916,92.02634337760291,3.821656050955413,3.87013483090537
ResNet50_Finetuned,occlusion,92.1443736730361,91.86371886863184,4.033970276008492,4.032759339876454
ResNet50_Finetuned,contrast,91.50743099787685,91.48654843289704,4.670912951167727,4.409929775611258
