Model,Clean Accuracy (%),Clean Macro-F1 (%),Mean Corrupted Accuracy (%),Mean Corrupted Macro-F1 (%),Mean Accuracy Drop (pp),Mean Macro-F1 Drop (pp),Macro-F1 Retention (%),Best Corrupted Macro-F1 (%),Worst Corrupted Macro-F1 (%),Worst Corruption,Worst Severity
ResNet50_Finetuned,96.17834394904459,95.89647820850828,93.06440198159945,92.80205345443035,3.113941967445152,3.094424754077922,96.7731612131264,95.82617257429288,89.43984444897853,gaussian_blur,3
EfficientNetB0_Finetuned,95.54140127388536,95.20536377646545,90.72894550601558,90.6215260106496,4.81245576786978,4.583837765815844,95.18531563349904,95.91083864375791,64.20095310851613,contrast,3
