Model,Accuracy (%),Macro-F1 (%),Macro-F1 Drop (pp)
EfficientNetB0_Finetuned,83.12101910828027,83.39876518723219,11.806598589233255
ResNet50_Finetuned,91.71974522292993,91.52387562079953,4.372602587708761
