Model,Severity,Severity Name,Accuracy (%),Macro-F1 (%),Accuracy Drop (pp),Macro-F1 Drop (pp)
EfficientNetB0_Finetuned,1,Mild,95.6475583864119,95.36339759304781,-0.10615711252653925,-0.1580338165823647
EfficientNetB0_Finetuned,2,Moderate,93.41825902335457,93.1024152516688,2.123142250530785,2.10294852479664
EfficientNetB0_Finetuned,3,Strong,83.12101910828027,83.39876518723219,12.420382165605096,11.806598589233255
ResNet50_Finetuned,1,Mild,94.69214437367305,94.38193311093102,1.4861995753715496,1.5145450975772725
ResNet50_Finetuned,2,Moderate,92.78131634819533,92.50035163156055,3.397027600849256,3.3961265769477333
ResNet50_Finetuned,3,Strong,91.71974522292993,91.52387562079953,4.458598726114649,4.372602587708761
